% Model,rectangularwaveguide.mph
% Version,COMSOL 5.3.0.316
% Date,"Aug 9 2021, 15:53"
% Table,Probe Table 1 - 
% wvln (nm),lambda,Effective mode index (1)
1544.9999999999998,-5694785.572267106i,1.4003158078764975
1544.9999999999998,-5694785.842491547i,1.4003158743231707
1544.9999999999998,-5696159.347182592i,1.4006536114173347
1544.9999999999998,-5697528.255497112i,1.4009902182883098
1544.9999999999998,-5698697.469667088i,1.4012777214900078
1544.9999999999998,-5700246.83609648i,1.401658701998534
1546,-1.2216659182952023E-8-5665734.920424623i,1.3940741453661187-3.0059522637226715E-15i
1546,-1.7140858923682886E-8-5666057.945397032i,1.3941536268047436-4.2175690515862594E-15i
1546,-5681795.382685683i,1.3980258789920705
1546,-5681795.52056935i,1.398025912918835
1546,-5690848.296101949i,1.400253380403822
1546,-5690848.566068637i,1.4002534468300818
1546,-5692218.212788822i,1.4005904532569111
1546,-5693589.743618918i,1.4009279232756577
1546,-5694759.4195054555i,1.401215726170566
1546,-5696311.786874423i,1.4015976916602302
1547,-1.4088780909689322E-8-5661785.656137485i,1.3940035160737936-3.4688367448192467E-15i
1547,-2.7676250485220884E-8-5662109.271227165i,1.3940831942178045-6.814244274032986E-15i
1547,-5677851.752814554i,1.397959193066464
1547,-5677851.890994832i,1.397959227088203
1547,-5686915.958189914i,1.4001909155178378
1547,-5686916.22789934i,1.400190981923723
1547,-5688282.010564589i,1.4005272549572112
1547,-5689656.167276451i,1.4008655897873008
1547,-5690826.302852799i,1.401153692023376
1547,-5692381.675053679i,1.4015366444077497
1547.9999999999998,-1.2316420570464606E-8-5657841.318779238i,1.393932843548198-3.0344193449079536E-15i
1547.9999999999998,-3.6685240895335164E-8-5658165.5246394975i,1.394012718746392-9.03821073732741E-15i
1547.9999999999998,-5673913.045987953i,1.3978924647440802
1547.9999999999998,-5673913.184464651i,1.3978924988608405
1547.9999999999998,-5682988.548968723i,1.4001284132205114
1547.9999999999998,-5682988.81842138i,1.4001284796060613
1547.9999999999998,-5684350.730948444i,1.4004640165175004
1547.9999999999998,-5685727.516910717i,1.400803217824716
1547.9999999999998,-5686898.110146185i,1.4010916190479774
1547.9999999999998,-5688456.491073914i,1.4014755602431306
1549,-5.622903206110035E-9-5653901.898810484i,1.3938621277900094-1.3862199888672863E-15i
1549,-3.6163490707202586E-8-5654226.69609478i,1.3939422003915316-8.915421775545958E-15i
1549,-5669979.252673013i,1.3978256940253506
1549,-5669979.391445939i,1.39782572823718
1549,-5679066.058900775i,1.4000658735138043
1549,-5679066.328097152i,1.400065939879058
1549,-5680424.36440362i,1.4004007379370413
1549,-5681803.782987411i,1.400740807389382
1549,-5682974.831847362i,1.4010295072439056
1549,-5684536.225399473i,1.401414439168409
1550,-9.686963564029324E-9-5649967.386716416i,1.3937913687998995-2.3896786089715633E-15i
1550,-1.7527631860346083E-8-5650292.776078343i,1.3938716391542416-4.323894339618545E-15i
1550,-5666050.363361465i,1.3977588809107095
1550,-5666050.502430428i,1.3977589152176544
1550,-5675148.478473056i,1.4000032963996727
1550,-5675148.747413642i,1.4000033627446693
1550,-5676502.901417942i,1.4003374192150937
1550,-5677884.955996816i,1.4006783584827742
1550,-5679056.458442666i,1.400967356610691
1550,1.0374262941552078E-9-5680620.868519291i,1.401353281185617+2.5592286036184335E-16i
