% Model,rectangularwaveguide.mph
% Version,COMSOL 5.3.0.316
% Date,"Aug 9 2021, 15:53"
% Table,Probe Table 1 - 
% wvln (nm),lambda,Effective mode index (1)
1502.9999999999998,2.3363341531016547E-8-5866271.162359585i,1.4032700177186326+5.588742111779392E-15i
1502.9999999999998,5.285471085846172E-8-5867532.9323352175i,1.4035718455624295+1.2643369014164983E-14i
1502.9999999999998,1.322901462797825E-6-5868680.975746065i,1.403846468888371+3.164510994738293E-13i
1502.9999999999998,2.8559474307409866E-7-5870107.783093549i,1.4041877753019973+6.831708406959129E-14i
1504,-5836183.153386237i,1.3970015261161437
1504,-5836481.981487268i,1.3970730563101446
1504,-5852003.378337176i,1.400788398086935
1504,-5852003.503597914i,1.400788428070477
1504,1.3931669875582695E-7-5860587.188667812i,1.402843096477412+3.334810365956879E-14i
1504,1.4876958611936305E-8-5860587.469889881i,1.4028431637932668+3.561083218024618E-15i
1504,1.2889661408557196E-8-5862113.903697872i,1.4032085447799894+3.0853858053489836E-15i
1504,8.359197476879012E-8-5863378.157010992i,1.4035111678748116+2.000933028554898E-14i
1504,7.201008199357977E-7-5864526.743764811i,1.4037861039770192+1.7236983795207158E-13i
1504,1.3800225061024761E-7-5865956.390919088i,1.4041283172358978+3.3033465476168155E-14i
1504.9999999999998,-5832018.006048136i,1.3969327133135072
1504.9999999999998,-5832317.396957812i,1.3970044258760133
1504.9999999999998,-5847844.0342596015i,1.4007234931957866
1504.9999999999998,-5847844.159824458i,1.4007235232721094
1504.9999999999998,2.5968853182344507E-8-5856438.895316731i,1.4027822047026162+6.220272382566646E-15i
1504.9999999999998,6.126373417585358E-8-5856439.176260524i,1.4027822719965743+1.4674391320678342E-14i
1504.9999999999998,6.119703509208446E-9-5857962.002174645i,1.4031470317304966+1.4658415009911042E-15i
1504.9999999999998,7.849956210136289E-8-5859228.742089374i,1.4034504516486639+1.8802857975825313E-14i
1504.9999999999998,2.9615015879711794E-7-5860377.870320866i,1.4037257002532975+7.093631131585183E-14i
1504.9999999999998,1.6861376145751347E-8-5861810.361065152i,1.404068822167554+4.038774898338279E-15i
1505.9999999999998,-5827858.209599152i,1.3968638572436978
1505.9999999999998,-5828158.163964533i,1.3969357525089485
1505.9999999999998,-5843690.0369256195i,1.4006585458910707
1505.9999999999998,-5843690.16279443i,1.4006585760602315
1505.9999999999998,1.5745140875608545E-8-5852295.954541972i,1.40272127542984+3.7739110021794314E-15i
1505.9999999999998,1.2600723328056796E-8-5852296.235207679i,1.4027213427018579+3.0202339108213674E-15i
1505.9999999999998,-2.384194665900872E-9-5853815.447115716i,1.4030854785695315-5.714612877754296E-16i
1505.9999999999998,-3.2755298304532584E-8-5855084.67689855i,1.4033896968854918-7.851030462524655E-15i
1505.9999999999998,-2.1786882929404626E-8-5856234.344739i,1.4036652577170017-5.222040110028391E-15i
1505.9999999999998,5.862647120443025E-9-5857669.682858939i,1.4040092900991494+1.4052023188951218E-15i
1507,-5823703.7533910815i,1.3967949579076424
1507,-5824004.271859393i,1.3968670362102265
1507,-5839541.375692963i,1.400593556173159
1507,-5839541.501865562i,1.4005935864352153
1507,-5848158.355696629i,1.4026603086611273
1507,2.5233548121775146E-9-5848158.636085075i,1.4026603759113148+6.052178180610914E-16i
1507,-1.322716425605654E-9-5849674.227875234i,1.403023885296473-3.1724890417919696E-16i
1507,-1.6340225592013672E-8-5850945.950795189i,1.4033289035868375-3.919145905165244E-15i
1507,8.884260948767431E-9-5852096.156371447i,1.4036047763677186+2.1308588869665974E-15i
1507,1.1077838267244352E-8-5853534.345655464i,1.4039497210327456+2.6569807276328587E-15i
1507.9999999999998,-5819554.626803947i,1.3967260153062635
1507.9999999999998,-5819855.710022576i,1.3967982769811165
1507.9999999999998,-5835398.039947606i,1.4005285240424254
1507.9999999999998,-5835398.166423827i,1.4005285543974337
1507.9999999999998,-5844026.088162731i,1.402599304398688
1507.9999999999998,-5844026.368274433i,1.4025993716270801
1507.9999999999998,-5845538.333835556i,1.402962251910692
1507.9999999999998,-5846812.553164006i,1.4032680717541992
1507.9999999999998,-1.6325561497666424E-9-5847963.29459935i,1.4035442562051934-3.918227067282611E-16i
1507.9999999999998,-1.3640793742577426E-9-5849404.338838572i,1.403890114970546-3.27386762587161E-16i
1509,-5815410.819245894i,1.3966570294404772
1509,-5815712.467862387i,1.3967294748228827
1509,-5831260.019103654i,1.4004634494992438
1509,-5831260.14588333i,1.4004634799472606
1509,-5839899.141350278i,1.4025382626446903
1509,-5839899.421185667i,1.402538329851303
1509,-5841407.754407179i,1.402900578411558
1509,-5842684.473417887i,1.4032072013890828
1509,-1.4922232789565546E-9-5843835.748832001i,1.4034836972291742-3.583795189760379E-16i
1509,-1.091503308281209E-9-5845279.651820073i,1.4038304719147126-2.6214068370257776E-16i
1510,-5811272.320153106i,1.3965880003111937
1510,-5811574.534815169i,1.396660629736783
1510,-5827127.302603265i,1.4003983325439902
1510,-5827127.429686229i,1.4003983630850716
1510,-5835777.504697169i,1.402477183401266
1510,-5835777.784256757i,1.4024772505861343
1510,-5837282.479028644i,1.4028388647984402
1510,-5838561.700997798i,1.403146292493002
1510,-1.197672623109484E-9-5839713.508506476i,1.4034230994393413-2.8782943245238725E-16i
1510,-8.863206870583138E-10-5841160.2740396755i,1.40377079186737-2.1300410095746495E-16i
1510.9999999999998,-5807139.118989702i,1.396518927919318
1510.9999999999998,-5807441.9003452035i,1.39659174172407
1510.9999999999998,-5822999.8799165515i,1.4003331731770414
1510.9999999999998,-5823000.0073026335i,1.400333203811244
1510.9999999999998,-5831661.167669309i,1.402416066670557
1510.9999999999998,-5831661.446953607i,1.4024161338337158
1510.9999999999998,-5833162.497166439i,1.4027771110707037
1510.9999999999998,-5834444.225372633i,1.4030853450674656
1510.9999999999998,-8.670240184226615E-10-5835596.563087899i,1.4033624628353976-2.0850464021577736E-16i
1510.9999999999998,-5837046.194965097i,1.4037110748306572
1512,-5803011.205247651i,1.396449812265748
1512,-5803314.553944614i,1.396522810785989
1512,-5818877.74054148i,1.4002679713987751
1512,-5818877.868230512i,1.4002680021261542
1512,-5827550.119760444i,1.4023549124546995
1512,-5827550.398769962i,1.4023549795961843
1512,-5829047.798314902i,1.4027153172277105
1512,-5830332.03603914i,1.4030243591139806
1512,-5831484.902069243i,1.4033017874170397
1512,-5832937.404091905i,1.4036513208067094
1513,-5798888.568446679i,1.396380653351377
1513,-5799192.485133288i,1.3964538369237811
1513,-5814760.874003798i,1.4002027272095714
1513,-5814761.001995608i,1.4002027580301821
1513,-5823444.350492087i,1.4022937207558273
1513,-5823444.629227335i,1.4022937878756732
1513,-5824938.371996141i,1.4026534832688204
1513,-5826225.122521838i,1.4029633346340544
1513,-5827378.514971244i,1.4032410731839613
1513,-5828833.89094343i,1.40359152979766
1513.9999999999998,-5794771.198134181i,1.3963114511770922
1513.9999999999998,-5795075.683458779i,1.3963848201386808
1513.9999999999998,-5810649.269856928i,1.4001374406098106
1513.9999999999998,-5810649.398151347i,1.4001374715237087
1513.9999999999998,-5819343.849413414i,1.402232491576068
1513.9999999999998,-5819344.1278749i,1.40223255867431
1513.9999999999998,-5820834.2077599345i,1.4025916091933908
1513.9999999999998,-5822123.4743729215i,1.4029022716291937
1513.9999999999998,-5823277.391342314i,1.4031803201358526
1513.9999999999998,-5824735.645070677i,1.4035317018056397
1515,-5790659.083885119i,1.3962422057437747
1515,-5790964.138496202i,1.3963157604319165
1515,-5806542.917681875i,1.4000721115998747
1515,-5806543.04627873i,1.4000721426071148
1515,-5815248.606101167i,1.4021712249175449
1515,-5815248.8842894i,1.4021712919942186
1515,-5816735.295183635i,1.4025296950007753
1515,-5818027.081172154i,1.4028411701009031
1515,-5819181.520758428i,1.4031195282723972
1515,-5820642.656052214i,1.4034718368327759
1516,-5786552.215301943i,1.3961729170523005
1516,-5786857.839848165i,1.3962466578047115
1516,-5802441.807087145i,1.4000067401801468
1516,-5802441.9359862665i,1.4000067712807844
1516,-5811158.610159581i,1.4021099207823766
1516,-5811158.888075067i,1.4021099878375178
1516,-5812641.623872092i,1.4024677406903265
1516,-5813935.932526802i,1.4027800300506874
1516,-5815090.892823055i,1.4030586975932762
1516,-5816554.913494107i,1.403411934881194
1516.9999999999998,-1.5105884522187292E-9-5782450.582014488i,1.396103585103538-3.64713528260515E-16i
1516.9999999999998,-5782756.777144662i,1.3961775122582822
1516.9999999999998,-5798345.927708648i,1.3999413263510119
1516.9999999999998,-5798346.05690986i,1.3999413575451005
1516.9999999999998,-5807073.851220275i,1.4020485791726776
1516.9999999999998,-5807074.128863523i,1.4020486462063215
1516.9999999999998,-5808553.183457548i,1.4024057462613924
1516.9999999999998,-5809850.018071524i,1.40271885148005
1516.9999999999998,-5811005.497167058i,1.402997828098165
1516.9999999999998,-5812472.407029811i,1.4033519959530159
