wvln,lambda,neff
1547.9999999999998,7.130672606912664E-6-5226628.105449301i,1.287694045609933+1.7567970155638162E-12i
1547.9999999999998,-2.965460219563344E-9-5298319.764244847i,1.3053568523542418-7.306059260737436E-16i
1547.9999999999998,-5377414.6737628905i,1.3248436116892424
1547.9999999999998,-5384152.129313309i,1.3265035310903932
1547.9999999999998,-5527004.665828168i,1.361698375062298
1547.9999999999998,-5544953.441923777i,1.3661204482685785
1547.9999999999998,-5632051.4501692215i,1.3875789458581067
1547.9999999999998,-5657867.315299133i,1.393939248358948
1547.9999999999998,-5694361.416144248i,1.4029303675681275
1547.9999999999998,-5724834.435252876i,1.410438061719358
1549,7.1397634569551535E-6-5222528.740791773i,1.287515268812149+1.7601730737709858E-12i
1549,-3.002082780734684E-9-5294271.23964242i,1.3052020192883065-7.401064906055344E-16i
1549,-5373321.873413639i,1.3246904516246867
1549,-5380062.166156207i,1.3263521427810296
1549,-5523004.9667636575i,1.3615919753378842
1549,-5540969.276910576i,1.366020734805913
1549,-5628115.263738654i,1.3875049226822715
1549,-5653955.730393292i,1.3938753989443198
1549,-5690462.140226735i,1.4028753609173286
1549,-5720965.098513957i,1.4103952859360245
1550,7.1489653961604305E-6-5218434.396131846i,1.2873364255300879+1.7635794302891406E-12i
1550,-3.2322330561396772E-9-5290227.7415390285i,1.3050471375248265-7.973600955978972E-16i
1550,-5369234.0108570615i,1.3245372068861918
1550,-5375977.136191167i,1.3262006695659072
1550,-5519010.204813191i,1.3614855204071792
1550,-5536990.046274039i,1.3659209704063138
1550,-5624184.011460154i,1.3874308637861543
1550,-5650049.0799523285i,1.3938115217174847
1550,-5686567.795539615i,1.4028203295744799
1550,-5717100.695354881i,1.410352495570164
