wvln,lambda,neff
1507.9999999999998,-5883765.641417046i,1.4121370218747473
1509,5.140721713446903E-6-5390523.840555111i,1.2946141292996476+1.2346204491214166E-12i
1509,-2.798829810625986E-9-5460237.761440162i,1.3113569598029944-6.721804272677743E-16i
1509,-5540989.323972215i,1.3307506434057839
1509,-5547612.430042978i,1.3323412804111436
1509,-5686947.810653513i,1.3658047355010978
1509,-5704288.767643143i,1.3699694231267145
1509,-5789515.260493209i,1.3904378275152178
1509,-5814372.121974519i,1.3964075709085493
1509,-5850383.42071262i,1.4050562175966557
1509,-5879690.8782134885i,1.412094837533557
1510,5.325865785791602E-6-5386220.955630138i,1.2944379714526189+1.2799331777844705E-12i
1510,-2.8583424222771715E-9-5455985.466603463i,1.3112040552816344-6.869281816116226E-16i
1510,-5536696.279155629i,1.3306007976980614
1510,-5543322.409706618i,1.3321932156585679
1510,-5682747.895509855i,1.3657005011001886
1510,-5700104.482762575i,1.3698717049516138
1510,-5785378.975805924i,1.3903652091544636
1510,-5810260.411146271i,1.3963448143273858
1510,-5846284.161720564i,1.4050021848663274
1510,-5875621.4497026075i,1.412052638209446
1510.9999999999998,5.490029486957225E-6-5381923.4841625085i,1.2942617457998864+1.3202594145367747E-12i
1510.9999999999998,-2.482775485821954E-9-5451738.591529701i,1.3110511005742844-5.970655926575517E-16i
1510.9999999999998,-5532408.56212225i,1.3304508667136548
1510.9999999999998,-5539037.712181546i,1.3320450653963678
1510.9999999999998,-5678553.307372398i,1.3655962108798345
1510.9999999999998,-5695925.522678672i,1.3697739354009792
1510.9999999999998,-5781248.015047072i,1.390292554488316
1510.9999999999998,-5806154.02532926i,1.3962820295233276
1510.9999999999998,-5842190.223672954i,1.4049481268986526
1510.9999999999998,-5871557.345335334i,1.4120104239126696
1512,5.639278584097939E-6-5377631.4155577505i,1.2940854523767076+1.3570488219902972E-12i
1512,-2.7040671198722574E-9-5447497.125630753i,1.3108980957207408-6.507128606756578E-16i
1512,-5528126.162365021i,1.3303008504679517
1512,-5534758.326968572i,1.3318968296394498
1512,-5674364.035736776i,1.365491864855699
1512,-5691751.876873504i,1.3696761144861553
1512,-5777122.367715298i,1.3902198635316942
1512,-5802052.954002646i,1.3962192165071217
1512,-5838101.596070072i,1.404894043707519
1512,-5867498.5545904515i,1.4119681946534701
1513,5.776734079018136E-6-5373344.739249112i,1.2939090912182705+1.3910458206402905E-12i
1513,-3.014898169000869E-9-5443261.0583461365i,1.3107450407607149-7.25991787102921E-16i
1513,-5523849.069404676i,1.3301507489763418
1513,-5530484.243596385i,1.331748508402749
1513,-5670180.070126418i,1.3653874630434517
1513,-5687583.534856922i,1.3695782422184803
1513,-5773002.023337038i,1.3901471362995237
1513,-5797957.186673355i,1.3961563752895032
1513,-5834018.268439985i,1.4048399353068208
1513,-5863445.066974508i,1.411925950442077
1513.9999999999998,5.9022364894507246E-6-5369063.444697478i,1.2937326623596948+1.4222063505162907E-12i
1513.9999999999998,-2.822385440416156E-9-5439030.379142936i,1.3105919357338371-6.800836435712064E-16i
1513.9999999999998,-5519577.272789655i,1.33000056225422
1513.9999999999998,-7.044385395309634E-10-5526215.451621469i,1.3316001017012316-1.6974192177152026E-16i
1513.9999999999998,-5666001.400092446i,1.3652830054587644
1513.9999999999998,-5683420.486166476i,1.3694803186092885
1513.9999999999998,-5768886.971466423i,1.3900743728067344
1513.9999999999998,-5793866.712876003i,1.3960935058811983
1513.9999999999998,-5829940.230338452i,1.4047858017104577
1513.9999999999998,-5859396.872021728i,1.4118836912887074
1515,6.017669919933131E-6-5364787.521391257i,1.2935561658360288+1.4509789992347767E-12i
1515,-2.8162639188847964E-9-5434805.0775156785i,1.3104387806796505-6.790568204927199E-16i
1515,-5515310.762095999i,1.3298502903169824
1515,-5521951.940627979i,1.331451609549889
1515,-5661828.0152135715i,1.3651784921173107
1515,-5679262.720367313i,1.3693823436699082
1515,-5764777.201685161i,1.3900015730682582
1515,-5789781.522172773i,1.3960306082929195
1515,-5825867.471348813i,1.4047316429323315
1515,-5855353.959293911i,1.411841417203567
1516,6.123229140513822E-6-5360516.958846306i,1.293379601682251+1.477405953113782E-12i
1516,-2.644442387720839E-9-5430585.142986268i,1.3102855756376148-6.380481338572524E-16i
1516,-5511049.526927273i,1.3296999331800305
1516,-5517693.700227691i,1.331303031963744
1516,-5657659.905096021i,1.3650739230347684
1516,-5675110.227052092i,1.369284317411662
1516,-5760672.703602486i,1.3899287370990336
1516,-5785701.60415335i,1.3959676825353686
1516,-5821799.981081925i,1.404677458986352
1516,-5851316.318380346i,1.4117991281968465
1516.9999999999998,6.219713152051783E-6-5356251.746605847i,1.2932029699332714+1.5016754067736474E-12i
1516.9999999999998,-2.668007322164551E-9-5426370.565103886i,1.3101323206471054-6.441584817243298E-16i
1516.9999999999998,-5506793.556914467i,1.3295494908587684
1516.9999999999998,-5513440.720059884i,1.3311543689578478
1516.9999999999998,-5653497.059373438i,1.3649692982268173
1516.9999999999998,-5670962.9958408885i,1.3691862398458674
1516.9999999999998,-5756573.46685504i,1.3898558649140025
1516.9999999999998,-5781626.948434821i,1.3959047286192368
1516.9999999999998,-5817737.749176056i,1.4046232498864317
1516.9999999999998,-5847283.938897723i,1.4117568242787266
1518,6.30732959489823E-6-5351991.874240341i,1.2930262706239253+1.5238331924494497E-12i
1518,-3.036809169592035E-9-5422161.333444895i,1.309979015747411-7.336846033069658E-16i
1518,-5502542.841715904i,1.3293989633686023
1518,-5509192.9897912545i,1.331005620547279
1518,-5649339.467706787i,1.3648646177091386
1518,-5666821.016381111i,1.3690881109838364
1518,-5752479.481106783i,1.3897829565281092
1518,-5777557.544661579i,1.3958417465552015
1518,-5813680.765296788i,1.4045690156464872
1518,-5843256.810490039i,1.4117145054593736
1519,6.386751427214665E-6-5347737.331347437i,1.292849503788981+1.544037768103609E-12i
